"word","Used"
"aarrgh" , 0
"sabers" , 0
"sabres" , 0
"abaser" , 0
"sabras" , 0
"abases" , 0
"baases" , 0
"bashed" , 0
"abased" , 0
"bashes" , 0
"abasia" , 0
"basing" , 0
"baaing" , 0
"barest" , 0
"baster" , 0
"breast" , 0
"tabers" , 0
"reatas" , 0
"rabats" , 0
"abates" , 0
"abater" , 0
"bating" , 0
"aborts" , 0
"boarts" , 0
"tabors" , 0
"aortas" , 0
"abator" , 0
"rabato" , 0
"abatis" , 0
"biaxal" , 0
"alexia" , 0
"abelia" , 0
"batboy" , 0
"bobcat" , 0
"daemon" , 0
"moaned" , 0
"bemoan" , 0
"badmen" , 0
"bedamn" , 0
"adduce" , 0
"abduce" , 0
"daubed" , 0
"caused" , 0
"sauced" , 0
"abused" , 0
"daubes" , 0
"ducats" , 0
"sacbut" , 0
"abduct" , 0
"abseil" , 0
"battle" , 0
"tablet" , 0
"ablate" , 0
"teated" , 0
"batted" , 0
"debate" , 0
"batter" , 0
"beater" , 0
"berate" , 0
"rebate" , 0
"rotate" , 0
"boater" , 0
"borate" , 0
"rebato" , 0
"nearby" , 0
"biders" , 0
"brides" , 0
"debris" , 0
"rebids" , 0
"aiders" , 0
"deairs" , 0
"irades" , 0
"raised" , 0
"redias" , 0
"resaid" , 0
"ardebs" , 0
"bardes" , 0
"beards" , 0
"breads" , 0
"debars" , 0
"sabred" , 0
"serdab" , 0
"braise" , 0
"rabies" , 0
"braids" , 0
"disbar" , 0
"abides" , 0
"biased" , 0
"abider" , 0
"biding" , 0
"aiding" , 0
"tibial" , 0
"biases" , 0
"biotic" , 0
"adjure" , 0
"dauber" , 0
"abjure" , 0
"abuser" , 0
"bursae" , 0
"tabled" , 0
"alated" , 0
"abated" , 0
"ablest" , 0
"bleats" , 0
"stable" , 0
"tables" , 0
"alates" , 0
"basalt" , 0
"tablas" , 0
"ablaut" , 0
"algins" , 0
"aligns" , 0
"lasing" , 0
"liangs" , 0
"ligans" , 0
"lingas" , 0
"signal" , 0
"ablins" , 0
"blains" , 0
"baling" , 0
"eluant" , 0
"lunate" , 0
"butane" , 0
"nebula" , 0
"unable" , 0
"tabued" , 0
"belaud" , 0
"boding" , 0
"ganoid" , 0
"bagnio" , 0
"gabion" , 0
"bandog" , 0
"abolla" , 0
"abomas" , 0
"orated" , 0
"boated" , 0
"barret" , 0
"barter" , 0
"hagbut" , 0
"abulia" , 0
"abulic" , 0
"soudan" , 0
"abound" , 0
"badder" , 0
"barded" , 0
"abrade" , 0
"barred" , 0
"carate" , 0
"begird" , 0
"bridge" , 0
"badger" , 0
"barged" , 0
"garbed" , 0
"broach" , 0
"isobar" , 0
"basses" , 0
"saices" , 0
"ceibas" , 0
"basics" , 0
"bacons" , 0
"bancos" , 0
"aisles" , 0
"lassie" , 0
"basils" , 0
"sables" , 0
"encase" , 0
"seance" , 0
"seneca" , 0
"assent" , 0
"sanest" , 0
"stanes" , 0
"absent" , 0
"basest" , 0
"basset" , 0
"bastes" , 0
"beasts" , 0
